# Wavelength (um) - Flux (W m-2 um-1)
1.000000000000000056e-01 6.772066325153303441e-08
1.000247604870141555e-01 4.132600541655075976e-08
1.000495271048454649e-01 4.072495510462804869e-08
1.000742998550119833e-01 5.871351506018562806e-08
1.000990787390320658e-01 6.289844530243738675e-08
1.001238637584245389e-01 8.827494885637507014e-08
1.001486549147084931e-01 2.979617265382517072e-09
1.001734522094035046e-01 5.345436084932906897e-09
1.001982556440294408e-01 8.973654927556582095e-08
1.002230652201065719e-01 4.805182409774321067e-08
1.002478809391555842e-01 3.377843792856541727e-08
1.002727028026974693e-01 4.501525470973368230e-08
1.002975308122536768e-01 3.095227514659353360e-08
1.003223649693459479e-01 2.561323856184461581e-08
1.003472052754964677e-01 2.449781882459980271e-08
1.003720517322277545e-01 5.875905197584168097e-08
1.003969043410627565e-01 5.644809691609180263e-08
1.004217631035247416e-01 4.748864923487293203e-08
1.004466280211373519e-01 3.324126937096538761e-08
1.004714990954246878e-01 5.035101258131620621e-08
1.004963763279111133e-01 6.286070494179770413e-08
1.005212597201214919e-01 6.253666363428955275e-08
1.005461492735809370e-01 3.964701192906768896e-08
1.005710449898150477e-01 6.687385486066499650e-08
1.005959468703497561e-01 4.606054818243285057e-08
1.006208549167113414e-01 2.175827740913431506e-08
1.006457691304265267e-01 8.761476210919885323e-09
1.006706895130223406e-01 4.087078843361363021e-08
1.006956160660262695e-01 1.081829055417851127e-07
1.007205487909661051e-01 6.275106474379242691e-08
1.007454876893700835e-01 3.754195606278091619e-08
1.007704327627667595e-01 5.029417920167442312e-08
1.007953840126850631e-01 4.295970983600674757e-08
1.008203414406543957e-01 4.664192859038848100e-08
1.008453050482044089e-01 1.355860170487309761e-08
1.008702748368652674e-01 1.554689226740115014e-08
1.008952508081673582e-01 5.668123151248218271e-09
1.009202329636416234e-01 6.246910420985063438e-08
1.009452213048192132e-01 3.399457429697828536e-08
1.009702158332318050e-01 4.814199592928978943e-08
1.009952165504113680e-01 6.241582360019649630e-08
1.010202234578902319e-01 4.706311574910473147e-08
1.010452365572011846e-01 5.443957413655157734e-08
1.010702558498773329e-01 3.669534906305135327e-08
1.010952813374522141e-01 6.003802653516530223e-08
1.011203130214596846e-01 9.088459369185918692e-08
1.011453509034340309e-01 4.099374369710690838e-08
1.011703949849099005e-01 2.503941350149812786e-08
1.011954452674222876e-01 6.217901300401181071e-08
1.012205017525066447e-01 5.418927832757048312e-08
1.012455644416987155e-01 9.021450081013260899e-08
1.012706333365347156e-01 3.193539045466616949e-08
1.012957084385511380e-01 8.231118032198671668e-08
1.013207897492849618e-01 7.031694994266497264e-08
1.013458772702734850e-01 4.477745614269028122e-08
1.013709710030543526e-01 6.780951066587580625e-08
1.013960709491656814e-01 3.947887293301861469e-08
1.014211771101458937e-01 3.311591162992204286e-08
1.014462894875338556e-01 8.353129439449449749e-09
1.014714080828687387e-01 7.909624105836269730e-08
1.014965328976901726e-01 5.042876374766806974e-08
1.015216639335381060e-01 6.827709252187370727e-09
1.015468011919529318e-01 1.223800673655876980e-07
1.015719446744753479e-01 1.047411909746651281e-07
1.015970943826464828e-01 5.350255774683834020e-08
1.016222503180078535e-01 1.193984864799594513e-07
1.016474124821013097e-01 4.611532829809635642e-08
1.016725808764691735e-01 2.539936882516206638e-08
1.016977555026540303e-01 9.619625151011273532e-08
1.017229363621989513e-01 5.074133954415987566e-08
1.017481234566473269e-01 6.066856880088291970e-08
1.017733167875429362e-01 1.877268282524912262e-08
1.017985163564300022e-01 9.148846502623608889e-08
1.018237221648530116e-01 4.215968455202986766e-08
1.018489342143569787e-01 5.672951765013102048e-08
1.018741525064871534e-01 1.225741448737347767e-07
1.018993770427892992e-01 8.446687378474611524e-08
1.019246078248094850e-01 1.392469750281894068e-07
1.019498448540941543e-01 1.072325416828410970e-07
1.019750881321902086e-01 1.756506004457670437e-07
1.020003376606448270e-01 8.009332383256080204e-08
1.020255934410056881e-01 1.264151790010529925e-07
1.020508554748207480e-01 1.356359008228501489e-07
1.020761237636384211e-01 5.193375158562039870e-08
1.021013983090074823e-01 1.180796302624008316e-07
1.021266791124770257e-01 1.704290544635196106e-08
1.021519661755966590e-01 1.571323174580983065e-07
1.021772594999162537e-01 6.516443182038643105e-08
1.022025590869861528e-01 7.716174044501313372e-08
1.022278649383569910e-01 9.273769592432435798e-08
1.022531770555799163e-01 7.674258622814998673e-08
1.022784954402062990e-01 1.533712200689411048e-07
1.023038200937880365e-01 5.948323774815143614e-08
1.023291510178773595e-01 9.309470051543430313e-08
1.023544882140268036e-01 1.031363658464466070e-07
1.023798316837894462e-01 8.090836506281408351e-08
1.024051814287186002e-01 1.484873900235680664e-07
1.024305374503680921e-01 9.453389436293437830e-08
1.024558997502919983e-01 6.593488521443914328e-08
1.024812683300449084e-01 3.450258871866359103e-08
1.025066431911817039e-01 8.147398200498857381e-09
1.025320243352576821e-01 1.180753076993606264e-08
1.025574117638285709e-01 1.012096019476105679e-09
1.025828054784503757e-01 3.361217136133726982e-10
1.026082054806796290e-01 1.049775532430552822e-08
1.026336117720731134e-01 4.408965336736823944e-08
1.026590243541880970e-01 4.053538347944884342e-08
1.026844432285821535e-01 8.482389389240048326e-08
1.027098683968133280e-01 1.426895825008957474e-07
1.027352998604399714e-01 1.959986697623311852e-07
1.027607376210208506e-01 2.214233244220773060e-07
1.027861816801151629e-01 9.345485028098724269e-08
1.028116320392823829e-01 3.387314577847071886e-09
1.028370887000825129e-01 1.472318783824413432e-07
1.028625516640758047e-01 1.744471787209623476e-07
